label,age,annual_income,tenure_months,support_tickets_90d,avg_monthly_spend,days_since_last_login,num_products,discount_pct,region_East,region_North,region_South,region_West,plan_Basic,plan_Plus,plan_Premium,channel_Mobile,channel_Phone,channel_Web
0,0.4217,0.1102,-0.8192,0.6097,1.7904,0.4503,2.2664,-0.1903,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,-0.2385,-0.4796,-0.0553,-1.5614,1.1527,-0.6546,-0.7124,-0.8218,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.6103,0.1071,-0.6951,-0.8377,0.6253,-0.606,-0.7124,1.5761,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1.5535,0.5548,-0.4797,2.0571,-0.0773,0.107,0.0323,-0.8153,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.3329,0.029,-1.1522,-0.8377,1.3295,-0.1876,0.777,0.1707,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,-0.3329,0.0202,0.7217,-0.8377,0.6206,-0.8108,-0.7124,-0.0381,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.5535,-0.7694,0.6956,0.6097,-0.8801,-0.6252,-0.7124,0.2436,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.7046,-0.7278,-1.0738,2.0571,-0.0102,1.2252,0.0323,-0.4542,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,-0.5215,-1.5144,-1.0608,0.6097,0.7776,0.135,-0.7124,-0.417,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.516,-0.0226,-0.9433,-1.5614,0.3516,3.1051,0.0323,1.1114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,-0.5215,-1.3456,0.3626,-1.5614,0.1226,0.4149,0.0323,-0.7133,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,-0.5215,-0.7597,0.121,-0.114,-0.9041,1.7453,-0.7124,-0.145,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.233,-0.7869,1.0286,0.6097,0.5655,-0.7475,-0.7124,0.0185,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,-1.9362,0.9287,1.2114,2.0571,-0.8119,0.4326,0.0323,0.2533,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,-1.8419,-0.3366,-1.2567,-1.5614,-0.1518,-0.9611,-0.7124,1.5291,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,-0.6158,1.3038,0.3234,-1.5614,1.4133,0.0835,0.0323,-1.6248,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,-1.0874,-0.7391,1.1461,0.6097,-0.7163,-0.3733,0.0323,1.6522,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.233,-0.0226,-0.5319,0.6097,-1.6378,-0.5721,0.777,-0.6679,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,-0.9931,-0.9112,-0.2577,0.6097,-1.112,0.9188,0.777,-0.3344,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,-1.559,-0.0226,-0.3948,0.6097,0.9557,0.8643,0.0323,-1.008,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.4592,-1.2858,-0.3556,0.6097,0.2085,-0.9581,1.5217,-0.2939,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,-0.2385,0.3065,0.7152,-0.8377,-0.1788,-0.0801,1.5217,-0.2518,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0.0444,0.651,2.2038,0.6097,-0.5631,-0.5412,-0.7124,-1.233,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,-1.559,0.4171,1.5509,1.3334,0.4417,-0.4661,0.777,-0.4299,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,-0.6158,-0.22,-0.6625,0.6097,-0.9066,0.7288,-0.7124,-0.1644,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.0444,-0.161,0.0361,-0.114,-0.0102,-0.6252,-1.4572,-0.3134,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,-1.276,0.0236,-0.8584,0.6097,-0.7875,1.7645,0.777,-0.0203,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0.3274,-0.1793,-0.7996,-0.8377,-0.9554,-0.7902,0.777,0.4071,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,-0.7101,1.002,-0.2969,-0.8377,-0.6927,0.0599,-1.4572,0.8054,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,-0.3329,-0.0226,-0.8192,0.6097,-0.428,0.0879,-1.4572,1.2911,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,-0.7101,-0.6158,-0.7213,-0.8377,-0.0979,-0.7018,1.5217,-0.2632,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1.8364,-1.4795,0.01,1.3334,0.1891,-0.6046,-0.7124,0.5998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,-0.0499,-0.1168,0.3038,0.6097,-2.5744,0.7435,1.5217,-1.4419,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-1.1817,2.7202,0.2712,-1.5614,-0.8645,0.3943,0.0323,0.6888,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0.7989,-0.8775,0.2842,-0.114,-0.4444,-0.5987,0.0323,1.0985,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,-1.276,1.72,-1.1195,0.6097,1.4718,-0.2495,0.777,-0.3134,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.1387,1.761,-0.8453,-0.114,-1.1398,-0.9198,0.0323,-0.213,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,-1.9362,-0.6116,-0.1989,-0.8377,0.1159,-0.7563,0.0323,-0.1029,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,-1.4647,0.5821,1.0677,1.3334,1.4617,-0.3438,-1.4572,-0.8703,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.1387,1.7086,3.0526,-0.8377,-1.3751,-0.8948,0.777,-0.9027,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.7046,-0.4261,0.0818,-0.8377,0.3495,0.7951,0.0323,1.0499,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0.1387,-0.2394,0.578,-1.5614,-0.859,0.2323,0.0323,-0.4558,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,-0.1442,-0.6415,-1.1718,0.6097,-0.5585,1.7733,-0.7124,-0.1596,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,-0.3329,-1.102,0.5454,-1.5614,-0.8599,0.1527,-0.7124,-1.6362,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,-1.559,-0.7134,2.6739,-0.114,-0.7879,1.7203,-0.7124,-0.5935,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,-0.8044,-1.3244,-0.8518,-0.114,2.7014,-0.2053,0.777,-1.5034,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,-0.5215,0.0133,-0.7017,-1.5614,0.8046,-0.1022,-0.7124,-0.6922,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.0819,-0.8417,0.7609,-0.114,1.0643,2.6307,1.5217,-0.6582,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.3274,0.2256,-0.212,1.3334,0.4485,0.0039,0.0323,0.0283,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,-1.8419,-1.6774,-1.3938,1.3334,-1.6715,-0.9508,-0.7124,-0.7181,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.3274,0.3289,-0.656,1.3334,0.3504,0.2514,-0.7124,1.1616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,-0.4272,0.8634,1.6554,0.6097,1.0353,1.2783,0.777,-0.8979,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,-0.7101,-2.143,-0.4862,-0.8377,-0.9108,0.5402,0.0323,-0.9934,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.6103,0.3748,-0.4862,-0.114,0.9267,-0.1405,-1.4572,0.9835,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.9876,1.2825,0.6695,-0.8377,0.6627,0.0849,0.777,0.1011,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.8933,-1.3092,0.121,-0.8377,1.8224,3.4484,-0.7124,3.0317,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,-0.8988,1.7556,-0.5319,1.3334,-0.4709,-0.8889,-1.4572,-0.7392,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,-0.3329,0.4226,-0.7474,0.6097,-1.1575,0.0731,2.2664,-0.9302,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.3274,-0.7726,3.0526,1.3334,-0.4141,-0.6605,-0.7124,-1.4678,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.9876,-0.0823,1.3289,-0.114,1.4015,-0.002,1.5217,-0.3652,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,-0.5215,0.5707,0.2842,-0.8377,-1.8958,-0.0845,0.777,-0.0818,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.2385,-0.0226,0.3626,-0.114,-2.1383,-0.8211,0.777,-1.4079,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,-1.1817,0.5499,-0.3491,0.6097,0.0418,-0.7578,0.777,0.0121,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,-1.276,-1.0019,0.1079,1.3334,-0.4957,-0.0491,0.777,-0.6728,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0.7989,0.1571,-0.4405,-0.114,-0.0407,-0.8491,-0.7124,-0.3895,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.3648,-1.5262,-0.9041,0.6097,0.9065,-0.6856,-1.4572,-0.2324,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,-0.1442,-0.1412,0.1471,-1.5614,-0.6069,0.7464,-0.7124,-0.0171,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.9876,-0.9841,-0.5123,-0.114,-1.9409,-0.6016,-0.7124,-1.0889,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
